Customer: Example
Server: example
Definition oval:com.ubuntu.focal:def:69131000000: false
Definition oval:com.ubuntu.focal:def:69111000000: false
Definition oval:com.ubuntu.focal:def:69101000000: false
Definition oval:com.ubuntu.focal:def:691000000: false
Definition oval:com.ubuntu.focal:def:69091000000: true
Definition oval:com.ubuntu.focal:def:69071000000: false
Definition oval:com.ubuntu.focal:def:69061000000: true
Definition oval:com.ubuntu.focal:def:69051000000: false
Definition oval:com.ubuntu.focal:def:69041000000: false
Definition oval:com.ubuntu.focal:def:69031000000: false
Definition oval:com.ubuntu.focal:def:69021000000: true
Definition oval:com.ubuntu.focal:def:69011000000: false
Definition oval:com.ubuntu.focal:def:68991000000: false
Definition oval:com.ubuntu.focal:def:68984000000: false
Definition oval:com.ubuntu.focal:def:68983000000: false
Definition oval:com.ubuntu.focal:def:68982000000: false
Definition oval:com.ubuntu.focal:def:68981000000: false
Definition oval:com.ubuntu.focal:def:68971000000: true
Definition oval:com.ubuntu.focal:def:68965000000: false
Definition oval:com.ubuntu.focal:def:68964000000: false
Definition oval:com.ubuntu.focal:def:68963000000: false
Definition oval:com.ubuntu.focal:def:68961000000: true
Definition oval:com.ubuntu.focal:def:68921000000: false
Definition oval:com.ubuntu.focal:def:68911000000: true
Definition oval:com.ubuntu.focal:def:68901000000: false
Definition oval:com.ubuntu.focal:def:68881000000: false
Definition oval:com.ubuntu.focal:def:68861000000: false
Definition oval:com.ubuntu.focal:def:68852000000: true
Definition oval:com.ubuntu.focal:def:68851000000: true
Definition oval:com.ubuntu.focal:def:68841000000: false
Definition oval:com.ubuntu.focal:def:68831000000: false
Definition oval:com.ubuntu.focal:def:68821000000: false
Definition oval:com.ubuntu.focal:def:68811000000: false
Definition oval:com.ubuntu.focal:def:68801000000: false
Definition oval:com.ubuntu.focal:def:68791000000: false
Definition oval:com.ubuntu.focal:def:68761000000: false
Definition oval:com.ubuntu.focal:def:68711000000: false
Definition oval:com.ubuntu.focal:def:68702000000: false
Definition oval:com.ubuntu.focal:def:68701000000: false
Definition oval:com.ubuntu.focal:def:68691000000: false
Definition oval:com.ubuntu.focal:def:68681000000: true
Definition oval:com.ubuntu.focal:def:68671000000: false
Definition oval:com.ubuntu.focal:def:68621000000: false
Definition oval:com.ubuntu.focal:def:68601000000: false
Definition oval:com.ubuntu.focal:def:68581000000: false
Definition oval:com.ubuntu.focal:def:68561000000: false
Definition oval:com.ubuntu.focal:def:68551000000: false
Definition oval:com.ubuntu.focal:def:68531000000: false
Definition oval:com.ubuntu.focal:def:68521000000: true
Definition oval:com.ubuntu.focal:def:68512000000: true
Definition oval:com.ubuntu.focal:def:68511000000: true
Definition oval:com.ubuntu.focal:def:68481000000: false
Definition oval:com.ubuntu.focal:def:68471000000: false
Definition oval:com.ubuntu.focal:def:68461000000: false
Definition oval:com.ubuntu.focal:def:68451000000: false
Definition oval:com.ubuntu.focal:def:68442000000: true
Definition oval:com.ubuntu.focal:def:68441000000: true
Definition oval:com.ubuntu.focal:def:68431000000: false
Definition oval:com.ubuntu.focal:def:68421000000: false
Definition oval:com.ubuntu.focal:def:68411000000: false
Definition oval:com.ubuntu.focal:def:68401000000: false
Definition oval:com.ubuntu.focal:def:68381000000: false
Definition oval:com.ubuntu.focal:def:68372000000: false
Definition oval:com.ubuntu.focal:def:68361000000: false
Definition oval:com.ubuntu.focal:def:68351000000: true
Definition oval:com.ubuntu.focal:def:68331000000: false
Definition oval:com.ubuntu.focal:def:68321000000: false
Definition oval:com.ubuntu.focal:def:68311000000: true
Definition oval:com.ubuntu.focal:def:68301000000: false
Definition oval:com.ubuntu.focal:def:68291000000: false
Definition oval:com.ubuntu.focal:def:68281000000: false
Definition oval:com.ubuntu.focal:def:68271000000: true
Definition oval:com.ubuntu.focal:def:68261000000: false
Definition oval:com.ubuntu.focal:def:68251000000: false
Definition oval:com.ubuntu.focal:def:68241000000: false
Definition oval:com.ubuntu.focal:def:68231000000: true
Definition oval:com.ubuntu.focal:def:68213000000: false
Definition oval:com.ubuntu.focal:def:68212000000: false
Definition oval:com.ubuntu.focal:def:68201000000: false
Definition oval:com.ubuntu.focal:def:68141000000: false
Definition oval:com.ubuntu.focal:def:68131000000: false
Definition oval:com.ubuntu.focal:def:68121000000: false
Definition oval:com.ubuntu.focal:def:68111000000: false
Definition oval:com.ubuntu.focal:def:68101000000: false
Definition oval:com.ubuntu.focal:def:68091000000: false
Definition oval:com.ubuntu.focal:def:68081000000: false
Definition oval:com.ubuntu.focal:def:68071000000: false
Definition oval:com.ubuntu.focal:def:68061000000: false
Definition oval:com.ubuntu.focal:def:68041000000: true
Definition oval:com.ubuntu.focal:def:68031000000: false
Definition oval:com.ubuntu.focal:def:68011000000: false
Definition oval:com.ubuntu.focal:def:68001000000: false
Definition oval:com.ubuntu.focal:def:67991000000: false
Definition oval:com.ubuntu.focal:def:67981000000: false
Definition oval:com.ubuntu.focal:def:67971000000: true
Definition oval:com.ubuntu.focal:def:67961000000: true
Definition oval:com.ubuntu.focal:def:67932000000: true
Definition oval:com.ubuntu.focal:def:67931000000: true
Definition oval:com.ubuntu.focal:def:67921000000: false
Definition oval:com.ubuntu.focal:def:67911000000: false
Definition oval:com.ubuntu.focal:def:67901000000: false
Definition oval:com.ubuntu.focal:def:67891000000: false
Definition oval:com.ubuntu.focal:def:67871000000: true
Definition oval:com.ubuntu.focal:def:67861000000: false
Definition oval:com.ubuntu.focal:def:67831000000: false
Definition oval:com.ubuntu.focal:def:67821000000: false
Definition oval:com.ubuntu.focal:def:67811000000: false
Definition oval:com.ubuntu.focal:def:67801000000: true
Definition oval:com.ubuntu.focal:def:67792000000: false
Definition oval:com.ubuntu.focal:def:67791000000: false
Definition oval:com.ubuntu.focal:def:67761000000: true
Definition oval:com.ubuntu.focal:def:67752000000: false
Definition oval:com.ubuntu.focal:def:67751000000: false
Definition oval:com.ubuntu.focal:def:67701000000: false
Definition oval:com.ubuntu.focal:def:67691000000: false
Definition oval:com.ubuntu.focal:def:67681000000: true
Definition oval:com.ubuntu.focal:def:67672000000: false
Definition oval:com.ubuntu.focal:def:67671000000: true
Definition oval:com.ubuntu.focal:def:67663000000: false
Definition oval:com.ubuntu.focal:def:67662000000: false
Definition oval:com.ubuntu.focal:def:67661000000: false
Definition oval:com.ubuntu.focal:def:67641000000: false
Definition oval:com.ubuntu.focal:def:67611000000: false
Definition oval:com.ubuntu.focal:def:67601000000: false
Definition oval:com.ubuntu.focal:def:67581000000: false
Definition oval:com.ubuntu.focal:def:67572000000: false
Definition oval:com.ubuntu.focal:def:67571000000: false
Definition oval:com.ubuntu.focal:def:67561000000: true
Definition oval:com.ubuntu.focal:def:67551000000: true
Definition oval:com.ubuntu.focal:def:67541000000: true
Definition oval:com.ubuntu.focal:def:67531000000: false
Definition oval:com.ubuntu.focal:def:67521000000: false
Definition oval:com.ubuntu.focal:def:67511000000: false
Definition oval:com.ubuntu.focal:def:67501000000: false
Definition oval:com.ubuntu.focal:def:67491000000: false
Definition oval:com.ubuntu.focal:def:67481000000: false
Definition oval:com.ubuntu.focal:def:67472000000: false
Definition oval:com.ubuntu.focal:def:67471000000: false
Definition oval:com.ubuntu.focal:def:67442000000: false
Definition oval:com.ubuntu.focal:def:67441000000: false
Definition oval:com.ubuntu.focal:def:67421000000: false
Definition oval:com.ubuntu.focal:def:67411000000: false
Definition oval:com.ubuntu.focal:def:67371000000: false
Definition oval:com.ubuntu.focal:def:67361000000: false
Definition oval:com.ubuntu.focal:def:67351000000: false
Definition oval:com.ubuntu.focal:def:67341000000: false
Definition oval:com.ubuntu.focal:def:67331000000: false
Definition oval:com.ubuntu.focal:def:67311000000: false
Definition oval:com.ubuntu.focal:def:67301000000: false
Definition oval:com.ubuntu.focal:def:67291000000: false
Definition oval:com.ubuntu.focal:def:67283000000: false
Definition oval:com.ubuntu.focal:def:67282000000: false
Definition oval:com.ubuntu.focal:def:67281000000: false
Definition oval:com.ubuntu.focal:def:67272000000: false
Definition oval:com.ubuntu.focal:def:67271000000: false
Definition oval:com.ubuntu.focal:def:67263000000: false
Definition oval:com.ubuntu.focal:def:67262000000: false
Definition oval:com.ubuntu.focal:def:67261000000: false
Definition oval:com.ubuntu.focal:def:67252000000: false
Definition oval:com.ubuntu.focal:def:67251000000: false
Definition oval:com.ubuntu.focal:def:67212000000: false
Definition oval:com.ubuntu.focal:def:67211000000: false
Definition oval:com.ubuntu.focal:def:67192000000: false
Definition oval:com.ubuntu.focal:def:67191000000: false
Definition oval:com.ubuntu.focal:def:67181000000: false
Definition oval:com.ubuntu.focal:def:67171000000: false
Definition oval:com.ubuntu.focal:def:67161000000: false
Definition oval:com.ubuntu.focal:def:67151000000: false
Definition oval:com.ubuntu.focal:def:67141000000: false
Definition oval:com.ubuntu.focal:def:67121000000: false
Definition oval:com.ubuntu.focal:def:67111000000: false
Definition oval:com.ubuntu.focal:def:67102000000: false
Definition oval:com.ubuntu.focal:def:67101000000: false
Definition oval:com.ubuntu.focal:def:67081000000: false
Definition oval:com.ubuntu.focal:def:67051000000: false
Definition oval:com.ubuntu.focal:def:67044000000: false
Definition oval:com.ubuntu.focal:def:67043000000: false
Definition oval:com.ubuntu.focal:def:67041000000: false
Definition oval:com.ubuntu.focal:def:67031000000: false
Definition oval:com.ubuntu.focal:def:67022000000: false
Definition oval:com.ubuntu.focal:def:67021000000: false
Definition oval:com.ubuntu.focal:def:66981000000: false
Definition oval:com.ubuntu.focal:def:66961000000: false
Definition oval:com.ubuntu.focal:def:66951000000: false
Definition oval:com.ubuntu.focal:def:66921000000: false
Definition oval:com.ubuntu.focal:def:66911000000: false
Definition oval:com.ubuntu.focal:def:66901000000: false
Definition oval:com.ubuntu.focal:def:66871000000: false
Definition oval:com.ubuntu.focal:def:66865000000: false
Definition oval:com.ubuntu.focal:def:66863000000: false
Definition oval:com.ubuntu.focal:def:66861000000: false
Definition oval:com.ubuntu.focal:def:66851000000: false
Definition oval:com.ubuntu.focal:def:66831000000: false
Definition oval:com.ubuntu.focal:def:66821000000: false
Definition oval:com.ubuntu.focal:def:66814000000: false
Definition oval:com.ubuntu.focal:def:66813000000: false
Definition oval:com.ubuntu.focal:def:66812000000: false
Definition oval:com.ubuntu.focal:def:66811000000: false
Definition oval:com.ubuntu.focal:def:66781000000: false
Definition oval:com.ubuntu.focal:def:66771000000: false
Definition oval:com.ubuntu.focal:def:66761000000: false
Definition oval:com.ubuntu.focal:def:66751000000: false
Definition oval:com.ubuntu.focal:def:66741000000: false
Definition oval:com.ubuntu.focal:def:66731000000: false
Definition oval:com.ubuntu.focal:def:66721000000: false
Definition oval:com.ubuntu.focal:def:66701000000: false
Definition oval:com.ubuntu.focal:def:66691000000: false
Definition oval:com.ubuntu.focal:def:66681000000: false
Definition oval:com.ubuntu.focal:def:66671000000: false
Definition oval:com.ubuntu.focal:def:66661000000: false
Definition oval:com.ubuntu.focal:def:66651000000: false
Definition oval:com.ubuntu.focal:def:66641000000: false
Definition oval:com.ubuntu.focal:def:66631000000: false
Definition oval:com.ubuntu.focal:def:66621000000: false
Definition oval:com.ubuntu.focal:def:66611000000: false
Definition oval:com.ubuntu.focal:def:66601000000: false
Definition oval:com.ubuntu.focal:def:66591000000: false
Definition oval:com.ubuntu.focal:def:66581000000: false
Definition oval:com.ubuntu.focal:def:66571000000: false
Definition oval:com.ubuntu.focal:def:66561000000: false
Definition oval:com.ubuntu.focal:def:66551000000: false
Definition oval:com.ubuntu.focal:def:66541000000: false
Definition oval:com.ubuntu.focal:def:66532000000: false
Definition oval:com.ubuntu.focal:def:66531000000: false
Definition oval:com.ubuntu.focal:def:66492000000: false
Definition oval:com.ubuntu.focal:def:66491000000: false
Definition oval:com.ubuntu.focal:def:66482000000: false
Definition oval:com.ubuntu.focal:def:66481000000: false
Definition oval:com.ubuntu.focal:def:66441000000: false
Definition oval:com.ubuntu.focal:def:66431000000: false
Definition oval:com.ubuntu.focal:def:66421000000: false
Definition oval:com.ubuntu.focal:def:66401000000: false
Definition oval:com.ubuntu.focal:def:66381000000: false
Definition oval:com.ubuntu.focal:def:66301000000: false
Definition oval:com.ubuntu.focal:def:66293000000: false
Definition oval:com.ubuntu.focal:def:66292000000: false
Definition oval:com.ubuntu.focal:def:66282000000: false
Definition oval:com.ubuntu.focal:def:66271000000: false
Definition oval:com.ubuntu.focal:def:66263000000: false
Definition oval:com.ubuntu.focal:def:66261000000: false
Definition oval:com.ubuntu.focal:def:66253000000: false
Definition oval:com.ubuntu.focal:def:66252000000: false
Definition oval:com.ubuntu.focal:def:66251000000: false
Definition oval:com.ubuntu.focal:def:66231000000: false
Definition oval:com.ubuntu.focal:def:66221000000: false
Definition oval:com.ubuntu.focal:def:66211000000: true
Definition oval:com.ubuntu.focal:def:66191000000: false
Definition oval:com.ubuntu.focal:def:66181000000: false
Definition oval:com.ubuntu.focal:def:66171000000: false
Definition oval:com.ubuntu.focal:def:66161000000: false
Definition oval:com.ubuntu.focal:def:66151000000: false
Definition oval:com.ubuntu.focal:def:66141000000: false
Definition oval:com.ubuntu.focal:def:66131000000: false
Definition oval:com.ubuntu.focal:def:66121000000: false
Definition oval:com.ubuntu.focal:def:66111000000: false
Definition oval:com.ubuntu.focal:def:66102000000: false
Definition oval:com.ubuntu.focal:def:66101000000: false
Definition oval:com.ubuntu.focal:def:66093000000: false
Definition oval:com.ubuntu.focal:def:66091000000: false
Definition oval:com.ubuntu.focal:def:66071000000: false
Definition oval:com.ubuntu.focal:def:66052000000: false
Definition oval:com.ubuntu.focal:def:66051000000: false
Definition oval:com.ubuntu.focal:def:66001000000: false
Definition oval:com.ubuntu.focal:def:65991000000: false
Definition oval:com.ubuntu.focal:def:65981000000: false
Definition oval:com.ubuntu.focal:def:65961000000: false
Definition oval:com.ubuntu.focal:def:65941000000: false
Definition oval:com.ubuntu.focal:def:65931000000: false
Definition oval:com.ubuntu.focal:def:65921000000: false
Definition oval:com.ubuntu.focal:def:65912000000: false
Definition oval:com.ubuntu.focal:def:65911000000: false
Definition oval:com.ubuntu.focal:def:65901000000: false
Definition oval:com.ubuntu.focal:def:65891000000: false
Definition oval:com.ubuntu.focal:def:65881000000: false
Definition oval:com.ubuntu.focal:def:65873000000: false
Definition oval:com.ubuntu.focal:def:65871000000: false
Definition oval:com.ubuntu.focal:def:65861000000: false
Definition oval:com.ubuntu.focal:def:65841000000: false
Definition oval:com.ubuntu.focal:def:65811000000: false
Definition oval:com.ubuntu.focal:def:65801000000: false
Definition oval:com.ubuntu.focal:def:65792000000: false
Definition oval:com.ubuntu.focal:def:65751000000: false
Definition oval:com.ubuntu.focal:def:65741000000: false
Definition oval:com.ubuntu.focal:def:65711000000: false
Definition oval:com.ubuntu.focal:def:65691000000: false
Definition oval:com.ubuntu.focal:def:65681000000: false
Definition oval:com.ubuntu.focal:def:65672000000: false
Definition oval:com.ubuntu.focal:def:65671000000: false
Definition oval:com.ubuntu.focal:def:65661000000: false
Definition oval:com.ubuntu.focal:def:65651000000: false
Definition oval:com.ubuntu.focal:def:65631000000: false
Definition oval:com.ubuntu.focal:def:65622000000: false
Definition oval:com.ubuntu.focal:def:65621000000: false
Definition oval:com.ubuntu.focal:def:65611000000: false
Definition oval:com.ubuntu.focal:def:65601000000: false
Definition oval:com.ubuntu.focal:def:65591000000: false
Definition oval:com.ubuntu.focal:def:65581000000: false
Definition oval:com.ubuntu.focal:def:65571000000: false
Definition oval:com.ubuntu.focal:def:65551000000: false
Definition oval:com.ubuntu.focal:def:65541000000: false
Definition oval:com.ubuntu.focal:def:65531000000: false
Definition oval:com.ubuntu.focal:def:65521000000: false
Definition oval:com.ubuntu.focal:def:65501000000: false
Definition oval:com.ubuntu.focal:def:65495000000: false
Definition oval:com.ubuntu.focal:def:65493000000: false
Definition oval:com.ubuntu.focal:def:65492000000: false
Definition oval:com.ubuntu.focal:def:65491000000: false
Definition oval:com.ubuntu.focal:def:65485000000: false
Definition oval:com.ubuntu.focal:def:65484000000: false
Definition oval:com.ubuntu.focal:def:65483000000: false
